Control,Input,SWNOutput,SWNDrain,SWPOutput,SWPDrain
34,47,44.695676000000006,7.058472,10.93478,7.058472
34,48,45.41294400000001,7.1041680000000005,11.20748,7.1041680000000005
34,49,46.13021200000001,7.149864,11.48018,7.149864
34,50,46.847480000000004,7.1955599999999995,11.752880000000001,7.1955599999999995
34,51,47.57121600000001,7.243072,12.300040000000001,7.243072
34,52,48.29495200000001,7.290584000000001,12.847200000000004,7.290584000000001
34,53,49.01868800000001,7.338096000000001,13.394360000000002,7.338096000000001
34,54,49.742424000000014,7.385608000000001,13.941520000000002,7.385608000000001
34,55,50.46616000000001,7.433120000000001,14.48868,7.433120000000001
34,56,51.189892000000015,7.480648,15.035836000000003,7.480648
34,57,51.91362400000001,7.528176000000002,15.582992000000003,7.528176000000002
34,58,52.63735600000001,7.575704000000001,16.130148000000002,7.575704000000001
34,59,53.36108800000001,7.623232000000001,16.677304,7.623232000000001
34,60,54.08482000000001,7.67076,17.22446,7.67076
34,61,54.85737600000001,7.687320000000001,17.909824,7.687320000000001
34,62,55.62993200000001,7.703880000000002,18.595188,7.703880000000002
34,63,56.402488000000005,7.720440000000002,19.280552,7.720440000000002
34,64,57.17504400000001,7.737000000000001,19.965916,7.737000000000001
34,65,57.9476,7.75356,20.65128,7.75356
34,66,58.72014000000001,7.770120000000001,21.336644,7.770120000000001
34,67,59.49268000000001,7.786680000000002,22.022008000000003,7.786680000000002
34,68,60.265220000000014,7.8032400000000015,22.707372000000003,7.8032400000000015
34,69,61.037760000000006,7.819800000000002,23.392736000000003,7.819800000000002
34,70,61.810300000000005,7.836360000000001,24.078100000000003,7.836360000000001
34,71,62.561952,7.888656000000002,24.802096000000002,7.888656000000002
34,72,63.31360400000001,7.940952000000001,25.526092000000006,7.940952000000001
34,73,64.065256,7.993248000000001,26.250088000000005,7.993248000000001
34,74,64.816908,8.045544000000001,26.974084,8.045544000000001
34,75,65.56855999999999,8.097840000000001,27.69808,8.097840000000001
34,76,66.320208,8.150120000000001,28.422072000000004,8.150120000000001
34,77,67.071856,8.2024,29.146064000000003,8.2024
34,78,67.823504,8.254680000000002,29.870056000000005,8.254680000000002
34,79,68.575152,8.30696,30.594048000000004,8.30696
34,80,69.32679999999999,8.359240000000002,31.318040000000003,8.359240000000002
35,0,6.6166,2.576,0.1247,2.576
35,1,7.78324,2.8070399999999998,0.18204000000000004,2.8070399999999998
35,2,8.94988,3.0380800000000003,0.23938000000000004,3.0380800000000003
35,3,10.116520000000001,3.26912,0.29672000000000004,3.26912
35,4,11.28316,3.50016,0.35406000000000004,3.50016
35,5,12.4498,3.7312,0.4114,3.7312
35,6,13.61642,3.9622200000000003,0.46872,3.9622200000000003
35,7,14.783040000000002,4.19324,0.5260400000000001,4.19324
35,8,15.949660000000003,4.42426,0.5833600000000001,4.42426
35,9,17.116280000000003,4.65528,0.64068,4.65528
35,10,18.2829,4.8863,0.698,4.8863
35,11,19.04652,4.96952,0.8205,4.96952
35,12,19.810140000000004,5.05274,0.9430000000000001,5.05274
35,13,20.573760000000004,5.135960000000001,1.0655000000000001,5.135960000000001
35,14,21.337380000000003,5.21918,1.188,5.21918
35,15,22.101,5.3024,1.3105,5.3024
35,16,22.864620000000002,5.385599999999999,1.433,5.385599999999999
35,17,23.628240000000005,5.4688,1.5555000000000003,5.4688
35,18,24.39186,5.552,1.6780000000000002,5.552
35,19,25.155480000000004,5.6352,1.8005000000000002,5.6352
35,20,25.9191,5.7184,1.923,5.7184
35,21,26.648260000000004,5.7767800000000005,2.1858000000000004,5.7767800000000005
35,22,27.377420000000004,5.83516,2.4486000000000003,5.83516
35,23,28.106580000000005,5.893540000000001,2.7114000000000003,5.893540000000001
35,24,28.835740000000005,5.95192,2.9742000000000006,5.95192
35,25,29.5649,6.0103,3.237,6.0103
35,26,30.294080000000005,6.06866,3.4998000000000005,6.06866
35,27,31.023260000000004,6.127020000000001,3.762600000000001,6.127020000000001
35,28,31.752440000000004,6.18538,4.0254,6.18538
35,29,32.48162000000001,6.243740000000001,4.288200000000001,6.243740000000001
35,30,33.2108,6.3021,4.551,6.3021
35,31,33.93428,6.350820000000001,4.986940000000001,6.350820000000001
35,32,34.65776,6.399540000000001,5.422880000000001,6.399540000000001
35,33,35.381240000000005,6.448260000000001,5.858820000000001,6.448260000000001
35,34,36.10472,6.496980000000001,6.29476,6.496980000000001
35,35,36.8282,6.5457,6.7307,6.5457
35,36,37.551700000000004,6.594420000000001,7.16664,6.594420000000001
35,37,38.275200000000005,6.643140000000001,7.60258,6.643140000000001
35,38,38.99870000000001,6.691860000000001,8.03852,6.691860000000001
35,39,39.7222,6.7405800000000005,8.47446,6.7405800000000005
35,40,40.4457,6.7893,8.9104,6.7893
35,41,41.172200000000004,6.835660000000001,9.17848,6.835660000000001
35,42,41.898700000000005,6.882020000000001,9.44656,6.882020000000001
35,43,42.62520000000001,6.928380000000001,9.714640000000001,6.928380000000001
35,44,43.3517,6.974740000000001,9.98272,6.974740000000001
35,45,44.0782,7.0211,10.2508,7.0211
35,46,44.80472,7.06748,10.5189,7.06748
35,47,45.53124000000001,7.113860000000001,10.787,7.113860000000001
35,48,46.257760000000005,7.16024,11.055100000000001,7.16024
35,49,46.984280000000005,7.206619999999999,11.3232,7.206619999999999
35,50,47.7108,7.252999999999999,11.5913,7.252999999999999
35,51,48.443180000000005,7.3016,12.1299,7.3016
35,52,49.175560000000004,7.3502,12.668500000000002,7.3502
35,53,49.90794000000001,7.398800000000001,13.2071,7.398800000000001
35,54,50.64032000000001,7.4474,13.745700000000001,7.4474
35,55,51.3727,7.496,14.2843,7.496
35,56,52.10508000000001,7.54462,14.8229,7.54462
35,57,52.83746000000001,7.5932400000000015,15.361500000000001,7.5932400000000015
35,58,53.569840000000006,7.64186,15.900100000000002,7.64186
35,59,54.302220000000005,7.69048,16.4387,7.69048
35,60,55.0346,7.7391,16.9773,7.7391
35,61,55.81718000000001,7.7560400000000005,17.71004,7.7560400000000005
35,62,56.59976,7.7729800000000004,18.44278,7.7729800000000004
35,63,57.382340000000006,7.78992,19.17552,7.78992
35,64,58.16492,7.80686,19.90826,7.80686
35,65,58.9475,7.8238,20.641,7.8238
35,66,59.73006,7.84074,21.373739999999998,7.84074
35,67,60.512620000000005,7.857680000000001,22.10648,7.857680000000001
35,68,61.29518000000001,7.874620000000001,22.83922,7.874620000000001
35,69,62.077740000000006,7.89156,23.57196,7.89156
35,70,62.8603,7.9085,24.3047,7.9085
35,71,63.6198,7.9626,25.049960000000002,7.9626
35,72,64.3793,8.0167,25.79522,8.0167
35,73,65.1388,8.070800000000002,26.540480000000002,8.070800000000002
35,74,65.8983,8.1249,27.28574,8.1249
35,75,66.6578,8.179,28.031,8.179
35,76,67.4173,8.233080000000001,28.77626,8.233080000000001
35,77,68.1768,8.287160000000002,29.521520000000002,8.287160000000002
35,78,68.9363,8.341240000000003,30.266780000000004,8.341240000000003
35,79,69.69579999999999,8.395320000000002,31.012040000000002,8.395320000000002
35,80,70.4553,8.4494,31.7573,8.4494
36,0,6.83568,2.6348000000000003,0.12196000000000001,2.6348000000000003
36,1,8.024328,2.865364,0.17907600000000004,2.865364
36,2,9.212976000000001,3.0959280000000007,0.23619200000000004,3.0959280000000007
36,3,10.401624000000002,3.3264920000000004,0.293308,3.3264920000000004
36,4,11.590271999999999,3.5570560000000007,0.35042400000000007,3.5570560000000007
36,5,12.77892,3.78762,0.40754,3.78762
36,6,13.967556,4.018172000000001,0.46463600000000005,4.018172000000001
36,7,15.156192000000003,4.248724000000001,0.5217320000000001,4.248724000000001
36,8,16.344828000000003,4.4792760000000005,0.5788280000000001,4.4792760000000005
36,9,17.533464000000002,4.709828000000001,0.635924,4.709828000000001
36,10,18.7221,4.94038,0.69302,4.94038
36,11,19.498112000000003,5.023108000000001,0.81434,5.023108000000001
36,12,20.274124000000008,5.105836000000001,0.9356600000000002,5.105836000000001
36,13,21.050136000000002,5.188564000000001,1.05698,5.188564000000001
36,14,21.826148,5.271292,1.1783000000000001,5.271292
36,15,22.60216,5.354019999999999,1.29962,5.354019999999999
36,16,23.378172,5.436731999999999,1.42094,5.436731999999999
36,17,24.154184000000004,5.519444000000001,1.5422600000000002,5.519444000000001
36,18,24.930196000000006,5.602156000000001,1.6635800000000003,5.602156000000001
36,19,25.706208000000007,5.684868,1.7849000000000004,5.684868
36,20,26.482220000000005,5.767580000000001,1.9062200000000002,5.767580000000001
36,21,27.222216000000007,5.8258280000000005,2.1655400000000005,5.8258280000000005
36,22,27.962212000000008,5.884076000000002,2.4248600000000002,5.884076000000002
36,23,28.70220800000001,5.942324000000001,2.6841800000000005,5.942324000000001
36,24,29.442204000000004,6.000572000000001,2.9435000000000002,6.000572000000001
36,25,30.182200000000005,6.058820000000001,3.2028200000000004,6.058820000000001
36,26,30.922216000000006,6.117052000000001,3.4621360000000005,6.117052000000001
36,27,31.662232000000007,6.175284000000001,3.721452000000001,6.175284000000001
36,28,32.40224800000001,6.233516000000002,3.980768000000001,6.233516000000002
36,29,33.142264000000004,6.291748000000001,4.240084000000001,6.291748000000001
36,30,33.88228,6.34998,4.4994000000000005,6.34998
36,31,34.615696,6.398972000000001,4.928940000000001,6.398972000000001
36,32,35.34911200000001,6.447964000000001,5.358480000000001,6.447964000000001
36,33,36.08252800000001,6.496956000000001,5.788020000000001,6.496956000000001
36,34,36.815944,6.545948000000001,6.217560000000001,6.545948000000001
36,35,37.54936000000001,6.594940000000001,6.647100000000001,6.594940000000001
36,36,38.282792,6.643932,7.076644000000001,6.643932
36,37,39.01622400000001,6.6929240000000005,7.506188000000001,6.6929240000000005
36,38,39.74965600000001,6.741916000000002,7.935732000000002,6.741916000000002
36,39,40.48308800000001,6.790908000000001,8.365276,6.790908000000001
36,40,41.21652,6.8399,8.79482,6.8399
36,41,41.952272,6.8869440000000015,9.0583,6.8869440000000015
36,42,42.688024000000006,6.933988,9.321780000000002,6.933988
36,43,43.423776000000004,6.981032000000001,9.585260000000002,6.981032000000001
36,44,44.159527999999995,7.028076,9.84874,7.028076
36,45,44.89528,7.07512,10.11222,7.07512
36,46,45.63104800000001,7.122180000000001,10.375715999999999,7.122180000000001
36,47,46.366816,7.169240000000001,10.639212,7.169240000000001
36,48,47.102584,7.2163,10.902708000000002,7.2163
36,49,47.83835200000001,7.2633600000000005,11.166204,7.2633600000000005
36,50,48.57412000000001,7.31042,11.4297,7.31042
36,51,49.315148000000015,7.360112,11.959744,7.360112
36,52,50.05617600000001,7.409803999999999,12.489788000000003,7.409803999999999
36,53,50.79720400000001,7.4594960000000015,13.019832000000003,7.4594960000000015
36,54,51.53823200000001,7.509188000000001,13.549876000000001,7.509188000000001
36,55,52.27926000000001,7.55888,14.079920000000001,7.55888
36,56,53.02028800000002,7.608588000000001,14.609960000000004,7.608588000000001
36,57,53.761316000000015,7.658296000000002,15.14,7.658296000000002
36,58,54.502344000000015,7.708004,15.670040000000004,7.708004
36,59,55.243372000000015,7.757712000000001,16.20008,7.757712000000001
36,60,55.98440000000001,7.8074200000000005,16.73012,7.8074200000000005
36,61,56.77700000000001,7.824740000000001,17.510236,7.824740000000001
36,62,57.569600000000015,7.84206,18.290352000000002,7.84206
36,63,58.36220000000001,7.859380000000002,19.070468,7.859380000000002
36,64,59.15480000000001,7.876700000000001,19.850583999999998,7.876700000000001
36,65,59.9474,7.89402,20.630699999999997,7.89402
36,66,60.73998400000001,7.9113440000000015,21.41082,7.9113440000000015
36,67,61.53256800000001,7.928668000000002,22.190939999999998,7.928668000000002
36,68,62.32515200000001,7.945992,22.971060000000005,7.945992
36,69,63.117736,7.963316000000002,23.75118,7.963316000000002
36,70,63.91032,7.98064,24.5313,7.98064
36,71,64.677672,8.036540000000002,25.297828000000003,8.036540000000002
36,72,65.445024,8.09244,26.064356000000004,8.09244
36,73,66.212376,8.148340000000003,26.830884000000005,8.148340000000003
36,74,66.979728,8.204240000000002,27.597412,8.204240000000002
36,75,67.74708,8.26014,28.36394,8.26014
36,76,68.51442800000001,8.316024,29.130468,8.316024
36,77,69.28177600000001,8.371908000000001,29.89699600000001,8.371908000000001
36,78,70.049124,8.427792000000004,30.663524000000002,8.427792000000004
36,79,70.816472,8.483676,31.430052000000003,8.483676
36,80,71.58382,8.539560000000002,32.19658,8.539560000000002
37,0,7.054760000000001,2.6936000000000004,0.11922000000000002,2.6936000000000004
37,1,8.265416000000002,2.9236880000000003,0.17611200000000002,2.9236880000000003
37,2,9.476072000000002,3.1537760000000006,0.23300400000000004,3.1537760000000006
37,3,10.686728000000002,3.383864000000001,0.28989600000000004,3.383864000000001
37,4,11.897384,3.6139520000000007,0.34678800000000004,3.6139520000000007
37,5,13.10804,3.8440400000000006,0.40368000000000004,3.8440400000000006
37,6,14.318692000000004,4.074124,0.4605520000000001,4.074124
37,7,15.529344000000002,4.304208000000001,0.5174240000000001,4.304208000000001
37,8,16.739996000000005,4.534292000000001,0.5742960000000001,4.534292000000001
37,9,17.950648000000005,4.764376000000001,0.6311680000000002,4.764376000000001
37,10,19.161300000000004,4.99446,0.6880400000000001,4.99446
37,11,19.949704000000004,5.076696000000001,0.8081800000000001,5.076696000000001
37,12,20.738108000000004,5.158932000000001,0.9283200000000001,5.158932000000001
37,13,21.526512000000004,5.241168000000002,1.0484600000000004,5.241168000000002
37,14,22.314916000000004,5.323404000000001,1.1686000000000003,5.323404000000001
37,15,23.103320000000004,5.40564,1.2887400000000002,5.40564
37,16,23.891724000000004,5.487864000000001,1.4088800000000001,5.487864000000001
